id,code,name,level,expected_ps_code,ps_in_db,prof_standard_name,prof_standard_order,activity_area
565,10.10400.06,Руководитель подразделений по измерению параметров и модификации свойств наноматериалов и наноструктур (7 уровень квалификации),7,10.104,False,Специалист по измерению параметров и модификации свойств наноматериалов и наноструктур,Приказ Министерства труда и социальной защиты РФ от «07»  сентября 2015 г. №593н,Проведение модификации свойств и измерений параметров наноматериалов и наноструктур
566,10.10400.07,Инженер по модернизации существующих и внедрению новых процессов измерения параметров и модификации свойств наноматериалов и наноструктур (6 уровень квалификации),6,10.104,False,Специалист по измерению параметров и модификации свойств наноматериалов и наноструктур,Приказ Министерства труда и социальной защиты РФ от «07»  сентября 2015 г. №593н,Проведение модификации свойств и измерений параметров наноматериалов и наноструктур
567,10.10400.08,Техник-лаборант по измерению параметров наноматериалов и наноструктур (5 уровень квалификации),5,10.104,False,Специалист по измерению параметров и модификации свойств наноматериалов и наноструктур,Приказ Министерства труда и социальной защиты РФ от «07»  сентября 2015 г. №593н,Проведение модификации свойств и измерений параметров наноматериалов и наноструктур
568,10.10400.09,Техник по модификации свойств наноматериалов и наноструктур (5 уровень квалификации),5,10.104,False,Специалист по измерению параметров и модификации свойств наноматериалов и наноструктур,Приказ Министерства труда и социальной защиты РФ от «07»  сентября 2015 г. №593н,Проведение модификации свойств и измерений параметров наноматериалов и наноструктур
1338,17.00000.01,Машинист-оператор электроподвижного состава метрополитена (5-й уровень квалификации),5,17.000,False,Нет связанного профессионального стандарта,,
2280,26.01100.01,Инженер-технолог по подготовке производства энергоносителей из возобновляемого сырья биотехнологическим методом (6 уровень квалификации),6,26.011,False,"Специалист - технолог в области биоэнергетических технологий, утратил или утратит силу в ближайшее в время.",Приказ Минтруда России от 21.12.2015 г. № 1054н,Производство энергоносителей из возобновляемого сырья биотехнологическим методом
2281,26.01100.02,Инженер-технолог производства энергоносителей из возобновляемого сырья биотехнологическим методом (6 уровень квалификации),6,26.011,False,"Специалист - технолог в области биоэнергетических технологий, утратил или утратит силу в ближайшее в время.",Приказ Минтруда России от 21.12.2015 г. № 1054н,Производство энергоносителей из возобновляемого сырья биотехнологическим методом
2282,26.01100.03,Специалист по модернизации технологий производства энергоносителей из возобновляемого сырья биотехнологическим методом (7 уровень квалификации),7,26.011,False,"Специалист - технолог в области биоэнергетических технологий, утратил или утратит силу в ближайшее в время.",Приказ Минтруда России от 21.12.2015 г. № 1054н,Производство энергоносителей из возобновляемого сырья биотехнологическим методом
2307,27.00000.01,"Оператор поста управления агрегатами непрерывного травления, обезжиривания, лужения, оцинкования, лакирования, отжига и окрашивания проката (4.2 уровень квалификации)",2,27.000,False,Нет связанного профессионального стандарта,,
2308,27.00000.02,Оцинковщик горячим способом линии непрерывного горячего цинкования в металлургии (4.2-й уровень квалификации),2,27.000,False,Нет связанного профессионального стандарта,,
2309,27.00000.03,Монтер пути при обслуживании железнодорожных путей необщего пользования на предприятиях горно-металлургического комплекса (3 уровень квалификации),3,27.000,False,Нет связанного профессионального стандарта,,
2310,27.00000.04,Аппаратчик воздухоразделения на предприятиях горно-металлургического комплекса (4 уровень квалификации),4,27.000,False,Нет связанного профессионального стандарта,,
2311,27.00000.05,Шлифовщик в прокатном производстве предприятий горно-металлургического комплекса (3-й уровень квалификации),3,27.000,False,Нет связанного профессионального стандарта,,
2312,27.00000.06,Водитель большегрузного автомобиля карьерного типа по обслуживанию технологических процессов горно-металлургического предприятия (3-й уровень квалификации),3,27.000,False,Нет связанного профессионального стандарта,,
2313,27.00000.07,"Машинист экскаватора на электрическом приводе с прямой лопатой, ковшом вместимостью от 2,5 м3 при обслуживании технологических процессов предприятий горно-металлургического комплекса (4-й уровень квалификации)",4,27.000,False,Нет связанного профессионального стандарта,,
2314,27.00000.08,Машинист бульдозера при обслуживании технологических процессов предприятий горно-металлургического комплекса (3-й уровень квалификации),3,27.000,False,Нет связанного профессионального стандарта,,
